CaptureSite,ForagingGround,Species,CCL_cm,CCW_cm,Weight_Kg,CalendarWeek
CaptureSite_1,Ocean,Species_5,40.9,40.3,,42
CaptureSite_1,Ocean,Species_5,42.7,42.0,,42
CaptureSite_1,Ocean,Species_5,55.0,51.1,,42
CaptureSite_1,Ocean,Species_5,80.6,71.5,,43
CaptureSite_1,Ocean,Species_5,65.9,63.3,,43
CaptureSite_1,Ocean,Species_5,70.8,62.7,,43
CaptureSite_1,Ocean,Species_5,70.3,64.9,,44
CaptureSite_1,Ocean,Species_5,42.3,40.8,,44
CaptureSite_1,Ocean,Species_5,70.9,62.4,,44
CaptureSite_1,Ocean,Species_5,70.7,66.2,,45
CaptureSite_1,Ocean,Species_5,51.0,49.7,,45
CaptureSite_1,Ocean,Species_5,74.4,67.3,,45
CaptureSite_1,Ocean,Species_5,70.8,62.6,,46
CaptureSite_1,Ocean,Species_5,69.9,62.3,,47
CaptureSite_1,Ocean,Species_5,69.3,64.4,,48
CaptureSite_1,Ocean,Species_5,69.1,62.7,,49
CaptureSite_1,Ocean,Species_6,43.8,41.4,,51
CaptureSite_1,Ocean,Species_5,40.5,37.7,,0
CaptureSite_1,Ocean,Species_6,34.0,31.6,,2
CaptureSite_1,Ocean,Species_6,47.8,45.1,,2
CaptureSite_1,Ocean,Species_5,89.7,83.2,,4
CaptureSite_1,Ocean,Species_6,50.8,45.9,,5
CaptureSite_1,Ocean,Species_5,47.9,44.9,,6
CaptureSite_1,Ocean,Species_6,34.3,31.5,,8
CaptureSite_1,Ocean,Species_6,39.5,37.9,,11
CaptureSite_1,Ocean,Species_5,69.9,64.1,,11
CaptureSite_1,Ocean,Species_6,38.8,35.6,,13
CaptureSite_1,Ocean,Species_5,88.8,80.0,,14
CaptureSite_1,Ocean,Species_5,69.1,64.7,,16
CaptureSite_1,Ocean,Species_5,45.0,41.5,,21
CaptureSite_1,Ocean,Species_6,34.3,32.8,,22
CaptureSite_1,Ocean,Species_6,29.2,26.0,,24
CaptureSite_1,Ocean,Species_5,69.1,64.3,,24
CaptureSite_1,Ocean,Species_5,51.2,43.8,,24
CaptureSite_1,Ocean,Species_5,44.8,43.4,,24
CaptureSite_1,Ocean,Species_6,40.1,39.9,,26
CaptureSite_1,Ocean,Species_5,42.6,39.5,,26
CaptureSite_1,Ocean,Species_6,32.6,32.0,,27
CaptureSite_1,Ocean,Species_5,42.0,43.2,,28
CaptureSite_1,Ocean,Species_6,40.8,39.1,,28
CaptureSite_1,Ocean,Species_6,31.4,29.3,,29
CaptureSite_1,Ocean,Species_6,37.7,33.6,,29
CaptureSite_1,Ocean,Species_5,71.2,63.0,,29
CaptureSite_1,Ocean,Species_5,41.6,37.8,,30
CaptureSite_1,Ocean,Species_6,32.5,31.4,,32
CaptureSite_1,Ocean,Species_6,35.0,32.1,,33
CaptureSite_1,Ocean,Species_6,34.4,30.9,,39
CaptureSite_1,Ocean,Species_6,34.9,30.2,,39
CaptureSite_1,Ocean,Species_5,42.6,41.1,,40
CaptureSite_1,Ocean,Species_5,41.1,37.7,,41
CaptureSite_1,Ocean,Species_6,36.1,31.2,,42
CaptureSite_1,Ocean,Species_6,44.0,37.0,,43
CaptureSite_1,Ocean,Species_6,36.2,33.4,,46
CaptureSite_1,Ocean,Species_5,42.7,42.4,,47
CaptureSite_1,Ocean,Species_6,34.4,30.1,,47
CaptureSite_1,Ocean,Species_5,40.7,38.2,,47
CaptureSite_1,Ocean,Species_5,37.4,35.5,,48
CaptureSite_1,Ocean,Species_5,49.9,45.5,,0
CaptureSite_1,Ocean,Species_6,43.4,38.4,,0
CaptureSite_1,Ocean,Species_5,36.1,35.7,,0
CaptureSite_1,Ocean,Species_6,35.7,34.4,,2
CaptureSite_1,Ocean,Species_6,36.4,34.4,,3
CaptureSite_1,Ocean,Species_5,49.7,47.1,,4
CaptureSite_1,Ocean,Species_5,54.8,46.7,,4
CaptureSite_1,Ocean,Species_6,41.1,38.3,,4
CaptureSite_1,Ocean,Species_5,42.1,40.1,,5
CaptureSite_1,Ocean,Species_5,49.4,48.1,,5
CaptureSite_1,Ocean,Species_6,39.9,38.7,,6
CaptureSite_1,Ocean,Species_6,36.0,33.1,,6
CaptureSite_1,Ocean,Species_5,43.6,42.3,,6
CaptureSite_1,Ocean,Species_5,56.9,52.3,,9
CaptureSite_1,Ocean,Species_5,46.1,44.3,,10
CaptureSite_1,Ocean,Species_5,56.9,52.3,,10
CaptureSite_1,Ocean,Species_6,37.6,37.2,,11
CaptureSite_1,Ocean,Species_6,44.8,41.2,,11
CaptureSite_1,Ocean,Species_6,30.2,28.2,,11
CaptureSite_1,Ocean,Species_5,40.7,38.9,,13
CaptureSite_1,Ocean,Species_6,44.6,40.2,,13
CaptureSite_1,Ocean,Species_6,47.8,44.2,,13
CaptureSite_1,Ocean,Species_5,40.6,38.9,,14
CaptureSite_1,Ocean,Species_6,35.9,32.4,,15
CaptureSite_1,Ocean,Species_5,49.6,44.7,,15
CaptureSite_1,Ocean,Species_5,53.4,51.0,,15
CaptureSite_1,Ocean,Species_6,60.7,55.1,,16
CaptureSite_1,Ocean,Species_6,35.3,32.1,,18
CaptureSite_1,Ocean,Species_6,38.0,37.3,6.0,19
CaptureSite_1,Ocean,Species_6,36.5,33.4,4.5,20
CaptureSite_1,Ocean,Species_5,47.6,45.3,,22
CaptureSite_1,Ocean,Species_6,32.2,30.0,4.0,23
CaptureSite_1,Ocean,Species_6,45.8,41.2,9.5,24
CaptureSite_1,Ocean,Species_5,41.9,39.5,8.5,25
CaptureSite_1,Ocean,Species_6,31.1,31.8,4.0,25
CaptureSite_1,Ocean,Species_5,47.2,45.2,12.0,25
CaptureSite_1,Ocean,Species_6,33.6,31.6,4.5,26
CaptureSite_1,Ocean,Species_6,31.4,31.7,4.0,26
CaptureSite_1,Ocean,Species_5,47.8,41.8,11.5,26
CaptureSite_1,Ocean,Species_6,32.9,30.5,4.0,27
CaptureSite_1,Ocean,Species_6,30.9,29.3,3.5,27
CaptureSite_1,Ocean,Species_6,46.0,42.2,11.5,32
CaptureSite_1,Ocean,Species_6,32.7,30.6,3.5,34
CaptureSite_1,Ocean,Species_5,36.1,36.8,6.5,35
CaptureSite_1,Ocean,Species_5,42.4,40.6,10.0,35
CaptureSite_1,Ocean,Species_5,88.5,80.8,,35
CaptureSite_1,Ocean,Species_6,38.7,34.2,7.0,36
CaptureSite_1,Ocean,Species_6,33.9,33.4,5.5,37
CaptureSite_1,Ocean,Species_6,34.8,33.9,4.5,37
CaptureSite_1,Ocean,Species_5,37.2,37.2,6.5,40
CaptureSite_1,Ocean,Species_6,32.6,30.2,5.0,45
CaptureSite_1,Ocean,Species_6,34.4,32.1,5.5,45
CaptureSite_1,Ocean,Species_6,36.2,34.5,6.0,46
CaptureSite_1,Ocean,Species_5,61.1,58.4,32.5,47
CaptureSite_1,Ocean,Species_5,34.2,33.4,3.2,48
CaptureSite_1,Ocean,Species_6,33.3,30.1,4.25,49
CaptureSite_1,Ocean,Species_6,37.8,37.8,7.5,49
CaptureSite_1,Ocean,Species_5,38.7,37.5,7.0,50
CaptureSite_1,Ocean,Species_5,41.7,40.4,8.0,1
CaptureSite_1,Ocean,Species_6,37.0,35.6,6.5,2
CaptureSite_1,Ocean,Species_5,54.4,46.2,18.5,5
CaptureSite_1,Ocean,Species_5,77.7,71.7,,5
CaptureSite_1,Ocean,Species_6,35.6,32.8,4.5,6
CaptureSite_1,Ocean,Species_5,42.6,41.9,8.0,7
CaptureSite_1,Ocean,Species_6,36.8,34.3,6.0,9
CaptureSite_1,Ocean,Species_5,42.5,42.8,9.0,9
CaptureSite_1,Ocean,Species_5,43.2,40.9,10.0,11
CaptureSite_1,Ocean,Species_6,42.7,40.4,9.0,14
CaptureSite_1,Ocean,Species_6,40.6,36.8,8.0,14
CaptureSite_1,Ocean,Species_5,46.9,44.5,12.5,16
CaptureSite_1,Ocean,Species_5,54.0,48.2,18.0,16
CaptureSite_1,Ocean,Species_6,30.8,29.5,4.0,16
CaptureSite_1,Ocean,Species_5,42.0,41.1,10.5,16
CaptureSite_1,Creek,Species_5,45.6,42.7,12.5,16
CaptureSite_1,Ocean,Species_6,39.7,38.5,8.5,18
CaptureSite_1,Ocean,Species_6,38.4,35.3,7.0,20
CaptureSite_1,Ocean,Species_6,33.1,31.3,4.5,20
CaptureSite_1,Ocean,Species_6,32.0,29.5,4.5,21
CaptureSite_1,Ocean,Species_6,55.3,49.5,,21
CaptureSite_1,Ocean,Species_5,28.6,26.9,3.5,21
CaptureSite_1,Ocean,Species_5,37.0,35.3,6.5,22
CaptureSite_1,Ocean,Species_6,34.0,31.5,45.0,23
CaptureSite_1,Ocean,Species_6,37.0,34.8,6.5,24
CaptureSite_1,Ocean,Species_6,32.5,29.9,4.5,24
CaptureSite_1,Ocean,Species_6,41.0,36.1,7.0,24
CaptureSite_1,Ocean,Species_6,32.0,29.8,4.5,24
CaptureSite_1,Ocean,Species_5,45.1,41.5,11.5,25
CaptureSite_1,Ocean,Species_5,41.2,39.1,8.5,26
CaptureSite_1,Ocean,Species_6,41.7,38.6,8.5,26
CaptureSite_1,Ocean,Species_6,36.8,35.9,5.5,26
CaptureSite_1,Ocean,Species_5,37.5,35.7,7.5,27
CaptureSite_1,Ocean,Species_6,51.0,44.6,14.5,29
CaptureSite_1,Ocean,Species_6,32.5,30.5,4.5,29
CaptureSite_1,Ocean,Species_5,40.4,39.8,8.5,31
CaptureSite_1,Ocean,Species_6,36.4,35.0,6.0,33
CaptureSite_1,Ocean,Species_5,43.6,42.4,9.0,35
CaptureSite_1,Ocean,Species_6,36.3,32.6,5.0,36
CaptureSite_1,Ocean,Species_5,37.3,36.7,6.5,36
CaptureSite_1,Ocean,Species_5,64.5,58.6,30.5,37
CaptureSite_1,Ocean,Species_6,39.8,39.1,7.0,37
CaptureSite_1,Ocean,Species_6,34.5,32.5,5.0,37
CaptureSite_1,Ocean,Species_6,33.3,30.5,4.5,39
CaptureSite_1,Ocean,Species_6,31.2,28.2,3.5,39
CaptureSite_1,Ocean,Species_6,36.0,35.1,6.5,39
CaptureSite_1,Ocean,Species_6,35.4,35.4,5.5,39
CaptureSite_1,Ocean,Species_6,33.2,32.2,4.5,39
CaptureSite_1,Ocean,Species_6,36.8,32.3,5.25,39
CaptureSite_1,Ocean,Species_6,38.0,36.1,7.0,39
CaptureSite_1,Ocean,Species_6,32.4,29.8,4.5,41
CaptureSite_1,Ocean,Species_5,40.5,36.9,8.0,42
CaptureSite_1,Ocean,Species_5,54.2,51.9,19.0,42
CaptureSite_1,Ocean,Species_5,55.0,53.2,21.0,42
CaptureSite_1,Ocean,Species_6,36.3,33.6,5.0,42
CaptureSite_1,Ocean,Species_5,99.4,95.4,,42
CaptureSite_1,Ocean,Species_6,32.2,31.2,4.0,43
CaptureSite_1,Ocean,Species_6,53.6,46.4,15.0,43
CaptureSite_1,Ocean,Species_6,32.6,29.5,4.0,43
CaptureSite_1,Ocean,Species_6,39.4,34.2,7.5,43
CaptureSite_1,Ocean,Species_6,32.2,29.5,3.55,44
CaptureSite_1,Ocean,Species_6,37.2,33.0,6.0,45
CaptureSite_1,Ocean,Species_6,37.7,34.4,6.5,45
CaptureSite_1,Ocean,Species_6,36.5,34.5,6.5,46
CaptureSite_1,Ocean,Species_6,41.6,38.4,6.5,46
CaptureSite_1,Ocean,Species_6,41.1,40.0,8.5,47
CaptureSite_1,Ocean,Species_6,34.0,31.1,4.5,47
CaptureSite_1,Ocean,Species_6,33.3,31.1,4.0,48
CaptureSite_1,Ocean,Species_5,52.1,48.4,17.5,49
CaptureSite_1,Ocean,Species_6,38.3,36.3,8.0,49
CaptureSite_1,Ocean,Species_6,53.3,46.1,16.5,49
CaptureSite_1,Ocean,Species_6,43.2,37.4,8.0,50
CaptureSite_1,Ocean,Species_5,47.0,45.3,13.0,50
CaptureSite_1,Ocean,Species_5,73.1,64.2,41.0,50
CaptureSite_1,Ocean,Species_5,87.1,80.1,,50
CaptureSite_1,Ocean,Species_6,40.9,39.4,8.0,50
CaptureSite_1,Ocean,Species_5,40.1,37.5,7.0,50
CaptureSite_1,Ocean,Species_5,45.7,44.1,12.0,51
CaptureSite_1,Ocean,Species_5,44.1,42.7,12.0,0
CaptureSite_1,Ocean,Species_5,44.2,43.0,10.0,0
CaptureSite_1,Ocean,Species_5,44.2,43.0,10.0,0
CaptureSite_1,Ocean,Species_6,35.6,34.5,5.5,1
CaptureSite_1,Ocean,Species_6,31.5,29.7,4.0,1
CaptureSite_1,Ocean,Species_6,46.4,41.6,11.0,1
CaptureSite_1,Ocean,Species_5,57.5,54.0,21.0,2
CaptureSite_1,Ocean,Species_5,74.0,70.0,,2
CaptureSite_1,Ocean,Species_5,46.5,42.9,14.0,2
CaptureSite_1,Ocean,Species_5,57.3,53.6,21.5,2
CaptureSite_1,Ocean,Species_5,57.9,55.2,24.5,2
CaptureSite_1,Ocean,Species_6,31.3,30.6,3.5,3
CaptureSite_1,Ocean,Species_5,52.6,50.4,19.5,4
CaptureSite_1,Ocean,Species_6,43.5,41.1,9.5,4
CaptureSite_1,Ocean,Species_6,32.6,30.5,5.5,4
CaptureSite_1,Ocean,Species_6,36.7,35.3,7.0,5
CaptureSite_1,Ocean,Species_6,37.0,34.4,4.5,5
CaptureSite_1,Creek,Species_6,40.0,37.6,7.5,6
CaptureSite_1,Ocean,Species_6,36.7,35.3,7.0,6
CaptureSite_1,Ocean,Species_5,49.3,45.3,14.5,6
CaptureSite_1,Ocean,Species_5,69.5,63.1,37.5,6
CaptureSite_1,Ocean,Species_5,40.8,40.3,7.0,7
CaptureSite_1,Ocean,Species_6,35.9,41.7,10.0,8
CaptureSite_1,Ocean,Species_6,31.7,30.6,3.5,8
CaptureSite_1,Ocean,Species_5,39.9,37.0,7.0,9
CaptureSite_1,Ocean,Species_6,35.1,32.0,6.0,10
CaptureSite_1,Ocean,Species_6,33.0,30.8,4.5,10
CaptureSite_1,Ocean,Species_5,56.1,52.3,19.0,10
CaptureSite_1,Ocean,Species_5,49.7,46.3,14.0,10
CaptureSite_1,Ocean,Species_6,39.0,36.7,7.5,11
CaptureSite_1,Ocean,Species_6,35.7,32.9,5.0,11
CaptureSite_1,Ocean,Species_6,68.5,61.2,,12
CaptureSite_1,Ocean,Species_6,32.9,30.6,4.5,12
CaptureSite_1,Ocean,Species_5,47.6,45.1,14.0,13
CaptureSite_1,Ocean,Species_6,37.4,35.6,6.0,13
CaptureSite_1,Ocean,Species_5,44.5,40.3,11.5,13
CaptureSite_1,Ocean,Species_5,41.4,38.8,10.0,13
CaptureSite_1,Ocean,Species_6,35.9,33.6,6.0,15
CaptureSite_1,Ocean,Species_6,28.0,26.6,3.0,16
CaptureSite_1,Ocean,Species_6,39.6,36.9,8.0,17
CaptureSite_1,Ocean,Species_6,42.2,39.8,10.0,17
CaptureSite_1,Ocean,Species_5,41.0,39.0,8.0,17
CaptureSite_1,Ocean,Species_6,40.6,38.8,9.0,18
CaptureSite_1,Ocean,Species_6,38.0,33.2,6.5,19
CaptureSite_1,Ocean,Species_6,38.5,36.5,7.0,21
CaptureSite_1,Ocean,Species_6,46.4,43.2,11.0,21
CaptureSite_1,Ocean,Species_6,36.7,33.7,6.5,22
CaptureSite_1,Ocean,Species_5,41.3,39.8,9.0,22
CaptureSite_1,Ocean,Species_5,41.2,41.1,8.0,22
CaptureSite_1,Ocean,Species_6,41.1,38.3,7.5,23
CaptureSite_1,Ocean,Species_6,38.6,35.3,5.5,23
CaptureSite_1,Ocean,Species_6,36.8,33.5,5.0,23
CaptureSite_1,Ocean,Species_6,44.5,40.4,9.0,24
CaptureSite_1,Ocean,Species_6,40.7,38.3,7.6,25
CaptureSite_1,Ocean,Species_6,37.0,34.1,5.2,25
CaptureSite_1,Ocean,Species_6,40.5,36.2,5.95,25
CaptureSite_1,Ocean,Species_6,55.7,48.4,16.0,27
CaptureSite_1,Ocean,Species_5,37.2,36.6,5.4,27
CaptureSite_1,Ocean,Species_6,45.7,40.3,9.0,27
CaptureSite_1,Ocean,Species_5,53.7,47.0,17.0,27
CaptureSite_1,Ocean,Species_5,42.6,39.7,9.4,28
CaptureSite_1,Ocean,Species_6,37.0,37.0,6.1,29
CaptureSite_1,Ocean,Species_6,31.6,29.4,3.2,29
CaptureSite_1,Ocean,Species_6,27.7,27.1,2.4,29
CaptureSite_1,Ocean,Species_6,34.0,31.0,3.5,29
CaptureSite_1,Ocean,Species_6,34.4,31.2,4.05,30
CaptureSite_1,Ocean,Species_6,30.2,28.8,3.1,30
CaptureSite_1,Ocean,Species_6,36.0,32.8,4.35,30
CaptureSite_1,Ocean,Species_6,31.5,30.0,3.4,31
CaptureSite_1,Ocean,Species_5,83.2,81.0,67.0,31
CaptureSite_1,Ocean,Species_6,33.8,32.8,3.5,31
CaptureSite_1,Ocean,Species_6,32.4,30.2,3.8,31
CaptureSite_1,Ocean,Species_6,50.5,46.4,13.8,32
CaptureSite_1,Ocean,Species_6,36.3,34.2,5.2,32
CaptureSite_1,Ocean,Species_6,38.2,36.3,6.4,33
CaptureSite_1,Ocean,Species_6,38.0,36.2,5.3,33
CaptureSite_1,Ocean,Species_6,35.3,33.4,4.9,34
CaptureSite_1,Ocean,Species_6,30.4,29.0,3.3,34
CaptureSite_1,Ocean,Species_5,44.6,40.3,9.4,34
CaptureSite_1,Ocean,Species_6,34.2,31.2,3.95,35
CaptureSite_1,Ocean,Species_6,54.7,49.7,18.4,35
CaptureSite_1,Ocean,Species_6,49.4,42.9,11.6,35
CaptureSite_1,Ocean,Species_6,49.5,42.9,11.6,35
CaptureSite_1,Ocean,Species_6,42.9,40.8,8.5,35
CaptureSite_1,Ocean,Species_5,56.5,49.0,18.75,36
CaptureSite_1,Ocean,Species_5,43.2,39.0,9.3,36
CaptureSite_1,Ocean,Species_6,37.5,34.2,4.9,36
CaptureSite_1,Ocean,Species_6,32.8,30.7,3.25,36
CaptureSite_1,Ocean,Species_6,37.7,34.0,5.5,36
CaptureSite_1,Ocean,Species_6,40.8,39.0,8.1,36
CaptureSite_1,Ocean,Species_5,41.0,38.0,8.5,37
CaptureSite_1,Ocean,Species_5,39.9,37.0,6.9,37
CaptureSite_1,Ocean,Species_6,32.6,31.0,4.1,37
CaptureSite_1,Ocean,Species_6,40.4,36.0,6.2,38
CaptureSite_1,Ocean,Species_6,35.0,33.0,4.2,38
CaptureSite_1,Ocean,Species_6,39.5,37.1,6.6,38
CaptureSite_1,Ocean,Species_5,41.1,39.5,7.75,38
CaptureSite_1,Ocean,Species_6,34.8,32.0,4.6,39
CaptureSite_1,Ocean,Species_6,28.2,26.6,2.05,40
CaptureSite_1,Ocean,Species_6,40.7,39.1,8.2,40
CaptureSite_1,Ocean,Species_5,41.6,39.5,7.6,42
CaptureSite_1,Ocean,Species_6,39.0,35.6,6.1,42
CaptureSite_1,Ocean,Species_6,35.4,31.7,,42
CaptureSite_1,Creek,Species_6,41.0,38.2,6.7,43
CaptureSite_1,Ocean,Species_5,39.2,38.6,6.8,43
CaptureSite_1,Ocean,Species_5,42.2,42.0,9.15,43
CaptureSite_1,Ocean,Species_6,33.0,31.2,4.15,44
CaptureSite_1,Ocean,Species_6,33.6,31.2,4.4,44
CaptureSite_1,Ocean,Species_6,34.3,31.7,4.65,44
CaptureSite_1,Ocean,Species_6,35.9,31.5,4.9,45
CaptureSite_1,Ocean,Species_6,45.0,39.5,10.2,45
CaptureSite_1,Ocean,Species_5,41.5,40.0,8.75,45
CaptureSite_1,Ocean,Species_5,44.5,44.2,9.9,46
