ForagingGround,Species,CCL_cm,CCW_cm,Weight_Kg,CalendarWeek
Creek,Species_5,38.5,37.8,8.38,21
Creek,Species_6,30.0,28.0,3.15,26
Creek,Species_5,39.5,40.0,7.364,31
Ocean,Species_6,39.2,34.4,6.85,4
Creek,Species_5,44.1,40.9,10.378,13
Creek,Species_5,67.4,61.8,35.773999999999994,12
Creek,Species_6,36.2,35.3,5.75,14
Ocean,Species_5,42.2,41.5,8.68,0
Ocean,Species_6,54.5,50.5,17.45,46
Creek,Species_5,50.6,47.7,15.420000000000002,51
Ocean,Species_6,65.77,57.27,30.32,8
Ocean,Species_5,43.3,41.2,9.824,27
Creek,Species_6,34.2,33.3,3.43,26
Ocean,Species_6,34.8,32.9,5.75,12
Ocean,Species_6,42.0,36.5,8.864,39
Ocean,Species_5,42.2,41.2,9.35,20
Creek,Species_5,69.2,65.6,35.5,40
Creek,Species_6,32.7,31.9,4.11,43
Ocean,Species_5,55.9,52.6,21.26,34
Ocean,Species_5,73.1,64.2,41.0,50
Creek,Species_6,31.9,31.3,4.172,21
Creek,Species_6,34.7,33.27,5.0,4
Ocean,Species_5,29.7,28.2,3.15,16
Ocean,Species_5,31.2,29.87,4.84,49
Ocean,Species_6,33.8,31.5,4.0,34
Creek,Species_6,44.5,41.7,11.0,25
Ocean,Species_6,38.5,35.7,6.46,43
Creek,Species_6,34.1,32.7,4.4,17
Ocean,Species_6,32.6,28.7,4.0,28
Creek,Species_5,73.0,64.9,43.4,9
Ocean,Species_6,49.4,44.5,12.22,5
Ocean,Species_6,53.1,48.9,17.678,10
Creek,Species_5,38.6,36.9,6.5,39
Creek,Species_5,42.23,38.23,10.12,23
Creek,Species_6,34.9,32.7,6.0,25
Creek,Species_5,36.8,33.5,6.5,24
Creek,Species_5,56.2,52.5,23.0,37
Creek,Species_6,30.4,27.3,2.35,15
Creek,Species_5,47.9,44.1,12.86,32
Ocean,Species_6,32.0,30.0,4.0,27
Creek,Species_5,62.0,60.6,29.560000000000002,20
Ocean,Species_6,42.6,39.9,8.7,15
Creek,Species_6,30.5,27.9,3.13,26
Creek,Species_6,36.93,34.07,5.37,23
Creek,Species_6,43.3,39.6,9.15,24
Ocean,Species_6,35.6,33.0,5.39,6
Ocean,Species_6,42.2,34.2,8.21,34
Ocean,Species_5,44.6,42.2,10.408000000000001,17
Creek,Species_5,43.5,42.2,10.3,22
Ocean,Species_5,39.4,38.0,7.302,38
Creek,Species_6,29.4,26.8,2.95,10
Creek,Species_5,43.8,42.6,10.15,42
Ocean,Species_6,39.3,35.3,6.45,38
Creek,Species_5,43.4,41.4,10.5,47
Creek,Species_6,43.5,39.6,10.8,47
Ocean,Species_5,46.3,44.9,13.472,47
Creek,Species_5,39.6,38.5,7.0,48
Creek,Species_5,44.1,41.3,11.3,47
Ocean,Species_5,34.7,34.1,4.82,42
Ocean,Species_6,35.5,33.6,5.22,37
Creek,Species_5,41.1,38.8,8.062000000000001,16
Creek,Species_5,61.0,56.1,27.0,41
Ocean,Species_5,37.4,34.0,7.07,50
Ocean,Species_5,39.4,40.1,7.14,37
Creek,Species_5,34.2,32.4,4.458,6
Creek,Species_5,47.9,44.4,13.540000000000001,10
Ocean,Species_5,34.5,34.8,4.85,37
Ocean,Species_5,71.1,62.2,38.160000000000004,33
Creek,Species_5,52.9,50.1,18.066,5
Creek,Species_5,42.97,41.43,9.71,44
Ocean,Species_5,42.3,41.4,10.0,30
Creek,Species_5,39.5,38.5,7.684,47
Creek,Species_5,66.1,62.6,36.5,40
Ocean,Species_5,41.3,41.0,8.662,1
Creek,Species_6,35.7,33.2,5.25,42
Ocean,Species_6,41.06,37.67,8.02,45
Creek,Species_5,35.1,33.4,5.048,30
Ocean,Species_6,37.0,34.4,5.5,25
Creek,Species_5,51.0,44.2,15.38,19
Creek,Species_6,37.3,33.7,5.2,45
Creek,Species_5,66.8,59.7,32.86,39
Creek,Species_5,42.3,40.0,8.856,49
Ocean,Species_5,41.0,39.9,8.31,48
Ocean,Species_6,31.2,28.6,3.14,37
Creek,Species_5,45.6,43.1,11.382,31
Creek,Species_5,41.9,39.9,8.23,43
Ocean,Species_6,45.9,42.1,10.85,42
Creek,Species_5,47.2,43.5,12.0,7
Creek,Species_5,52.0,48.0,15.613999999999999,8
Ocean,Species_6,38.5,35.7,8.5,30
Ocean,Species_6,33.3,31.6,3.96,34
Creek,Species_5,43.8,43.4,11.5,30
Ocean,Species_6,31.5,30.7,3.88,22
Creek,Species_5,40.0,40.0,7.76,43
Creek,Species_5,45.1,42.3,12.004,38
Creek,Species_6,38.1,35.5,4.8,51
Creek,Species_5,41.1,39.0,6.0,37
Creek,Species_5,37.9,37.8,6.86,47
Ocean,Species_6,31.0,29.4,4.0,27
Creek,Species_6,58.2,50.5,19.4,52
Ocean,Species_6,34.5,32.1,5.018,47
Creek,Species_5,32.0,31.25,3.45,48
Ocean,Species_6,29.5,27.2,3.5,50
Creek,Species_5,43.8,42.0,8.74,40
Creek,Species_5,34.2,33.2,5.06,45
Creek,Species_6,38.6,36.63,6.49,9
Creek,Species_6,38.0,35.3,5.81,23
Creek,Species_6,39.0,34.5,6.94,31
Ocean,Species_5,50.3,46.3,15.462,12
Creek,Species_5,71.7,65.0,40.004,13
Ocean,Species_6,37.5,33.5,6.1819999999999995,43
Ocean,Species_6,39.5,37.1,6.6,38
Ocean,Species_5,41.3,41.5,8.98,28
Ocean,Species_6,31.9,29.0,3.5,30
Creek,Species_6,36.1,34.6,6.5,5
Ocean,Species_6,35.75,34.85,6.1,22
Creek,Species_5,45.4,44.3,10.9,31
Creek,Species_6,35.0,30.5,4.802,41
Ocean,Species_5,36.1,36.8,6.5,35
Creek,Species_5,39.4,35.6,6.4,46
Ocean,Species_6,33.6,32.2,5.0,8
Creek,Species_5,56.5,52.6,21.857999999999997,38
Creek,Species_5,43.7,42.5,10.424,37
Creek,Species_5,40.5,40.2,7.6,35
Creek,Species_6,37.0,35.6,5.44,20
Creek,Species_5,42.6,41.5,10.05,36
Creek,Species_6,40.5,36.3,6.82,12
Ocean,Species_6,39.0,38.0,5.9,41
Ocean,Species_6,37.9,34.8,7.0,40
Ocean,Species_6,27.1,24.3,2.58,13
Creek,Species_5,41.6,40.3,8.0,24
Ocean,Species_5,32.6,33.0,3.85,44
Ocean,Species_6,42.0,37.1,8.5,25
Creek,Species_5,42.7,41.3,9.225999999999999,30
Creek,Species_5,60.0,53.6,26.5,5
Creek,Species_5,30.93,30.0,3.66,2
Ocean,Species_5,45.1,42.2,12.5,45
Ocean,Species_6,38.6,35.4,6.5,3
Creek,Species_6,30.5,27.4,4.04,35
Creek,Species_5,63.0,53.8,21.436,0
Creek,Species_6,32.4,31.0,4.0,45
Creek,Species_5,42.1,42.2,9.256,34
Creek,Species_6,33.0,29.4,3.23,48
Ocean,Species_5,50.5,48.2,17.5,13
Creek,Species_5,42.7,39.9,8.922,14
Creek,Species_6,29.2,28.7,3.2,34
Creek,Species_5,49.0,41.0,11.197999999999999,31
Ocean,Species_6,4.3,4.2,0.10000000000000002,25
Ocean,Species_6,39.3,36.4,6.970000000000001,46
Ocean,Species_5,43.9,41.1,10.23,31
Ocean,Species_6,39.6,36.6,7.66,17
Ocean,Species_6,32.1,29.2,5.0,49
Creek,Species_6,35.0,33.0,5.41,34
Creek,Species_5,45.5,42.7,10.2,1
Creek,Species_5,35.0,32.5,4.77,11
Ocean,Species_5,40.7,41.5,7.858,36
Creek,Species_5,53.0,48.0,17.0,4
Creek,Species_5,52.3,47.2,16.48,34
Creek,Species_7,4.5,4.2,0.10000000000000002,18
Creek,Species_5,39.6,38.1,8.0,27
Creek,Species_6,32.17,28.53,3.6,9
Creek,Species_5,41.0,37.7,7.54,16
Creek,Species_5,45.6,43.2,11.06,11
Ocean,Species_5,36.7,35.4,7.31,45
Creek,Species_6,35.17,33.33,5.0,8
Ocean,Species_5,38.9,37.0,7.0,46
Ocean,Species_6,33.1,30.8,4.5,41
Creek,Species_5,53.7,48.2,17.166,6
Creek,Species_5,43.7,43.3,10.246,38
Ocean,Species_5,42.9,39.6,8.32,50
Creek,Species_5,51.7,46.7,17.084,48
Creek,Species_5,42.5,38.8,8.874,46
Ocean,Species_6,29.9,28.0,3.94,30
Creek,Species_6,40.2,37.5,7.0,46
Creek,Species_6,29.5,26.0,2.79,14
Ocean,Species_6,28.2,25.8,2.41,42
Creek,Species_6,34.4,32.8,4.7,33
Creek,Species_5,59.1,53.6,24.2,32
Creek,Species_5,32.8,32.2,4.28,3
Creek,Species_6,31.0,29.1,4.238,38
Creek,Species_6,39.7,38.5,8.5,18
Creek,Species_5,45.7,43.4,11.309999999999999,0
Ocean,Species_5,41.0,40.2,7.2,4
Creek,Species_5,47.6,45.1,13.580000000000002,26
Creek,Species_6,35.0,32.1,4.5,25
Creek,Species_5,47.6,44.3,14.0,48
Creek,Species_5,38.4,34.9,6.5,15
Creek,Species_6,33.2,31.0,3.754,19
Creek,Species_5,38.3,36.7,6.25,41
Ocean,Species_5,99.5,92.4,120.84,51
Creek,Species_5,74.1,68.7,49.48,31
Creek,Species_5,50.0,46.2,15.7,39
Creek,Species_5,41.2,40.3,8.326,45
Creek,Species_5,45.7,42.4,12.87,33
Ocean,Species_5,48.0,44.4,13.0,24
Creek,Species_5,44.97,45.5,11.196000000000002,23
Creek,Species_6,34.5,33.6,5.216,41
Ocean,Species_6,8.2,8.1,0.20333333333333334,15
Ocean,Species_6,40.0,38.2,8.05,14
Creek,Species_5,57.3,53.3,21.794,46
Creek,Species_6,33.3,29.5,3.93,51
Creek,Species_6,34.5,31.3,5.4,18
Ocean,Species_5,44.1,43.1,10.5,50
Creek,Species_5,40.0,39.9,7.19,37
Creek,Species_5,53.3,50.2,17.966,6
Ocean,Species_5,42.2,40.7,9.0,29
Creek,Species_6,32.1,29.3,4.17,18
Ocean,Species_6,35.2,32.8,4.55,43
Creek,Species_6,39.1,36.1,5.0,30
Ocean,Species_6,33.5,30.2,4.5,38
Ocean,Species_6,44.3,41.2,11.38,10
Creek,Species_5,41.5,40.6,8.0,7
Ocean,Species_5,37.1,38.4,6.556,35
Creek,Species_6,33.1,30.1,3.91,35
Creek,Species_5,39.4,38.0,7.18,49
Creek,Species_5,49.3,47.7,13.466,36
Creek,Species_5,50.9,48.5,14.7,4
Creek,Species_5,71.6,64.5,38.684000000000005,28
Creek,Species_5,43.0,41.5,9.416,47
Ocean,Species_5,36.5,35.2,5.946,42
Creek,Species_5,79.2,70.0,57.6,42
Ocean,Species_6,38.6,35.4,6.2,38
Ocean,Species_5,45.1,41.2,10.1,41
Ocean,Species_5,47.6,44.6,12.017999999999999,31
Creek,Species_5,59.5,52.7,26.0,37
Ocean,Species_6,28.5,26.6,3.08,2
Ocean,Species_6,34.0,31.5,4.5,49
Creek,Species_6,27.43,26.07,1.74,21
Creek,Species_5,37.2,36.6,6.262,44
Ocean,Species_6,34.4,31.5,5.134,22
Ocean,Species_6,34.1,31.2,5.0,41
Ocean,Species_6,41.8,37.4,8.2,6
Creek,Species_5,45.3,44.2,10.826000000000002,29
Ocean,Species_6,38.0,34.1,7.01,6
Ocean,Species_5,53.0,48.3,15.785999999999998,52
Creek,Species_5,71.9,64.3,39.315999999999995,39
Ocean,Species_6,41.1,37.5,8.82,45
Creek,Species_5,52.7,47.1,16.89,2
Creek,Species_5,60.1,55.7,22.110000000000003,51
Creek,Species_5,44.7,44.1,11.0,29
Creek,Species_5,58.6,53.2,23.5,45
Creek,Species_5,45.0,41.5,10.55,21
Ocean,Species_6,34.5,32.6,5.0,7
Creek,Species_5,40.8,39.2,8.222,25
Creek,Species_6,36.1,34.4,5.5,38
Creek,Species_5,49.9,49.65,23.259999999999998,42
Creek,Species_5,43.6,40.5,9.5,35
Ocean,Species_5,36.1,32.0,5.52,29
Ocean,Species_5,44.6,41.1,9.5,3
Creek,Species_5,44.5,42.2,9.63,35
Creek,Species_5,69.9,61.1,38.78000000000001,20
Creek,Species_5,62.5,55.0,26.928000000000004,40
Creek,Species_6,40.5,38.0,8.5,3
Creek,Species_5,42.0,40.9,10.5,33
Creek,Species_5,36.5,37.3,6.19,42
Creek,Species_5,65.6,58.1,31.5,43
Ocean,Species_6,42.37,38.03,8.05,47
Creek,Species_5,39.23,38.5,6.93,2
Creek,Species_6,46.0,39.3,10.5,32
Ocean,Species_5,42.2,41.1,9.5,51
Ocean,Species_5,39.9,39.0,8.14,46
Creek,Species_5,44.1,43.7,10.0,32
Ocean,Species_6,36.4,35.0,6.0,33
Ocean,Species_5,60.8,56.1,26.568,30
Ocean,Species_5,63.0,61.4,31.0,11
Ocean,Species_6,33.7,32.1,4.53,36
Creek,Species_6,50.2,44.2,15.48,20
Ocean,Species_5,38.2,37.0,7.67,18
Creek,Species_5,40.6,39.5,8.648,33
Creek,Species_6,31.6,28.5,6.0,13
Creek,Species_5,74.1,69.0,49.480000000000004,49
Ocean,Species_6,45.6,42.6,10.98,25
Ocean,Species_6,38.7,37.9,8.5,5
Creek,Species_5,36.2,34.8,5.5,2
Ocean,Species_5,32.5,28.7,4.4,41
Creek,Species_5,43.46,42.36,10.31,2
Creek,Species_5,41.9,41.3,9.198,41
Creek,Species_5,40.0,37.6,7.244,12
Ocean,Species_6,53.3,45.7,20.0,1
Creek,Species_5,47.8,45.7,14.3,1
Ocean,Species_6,32.4,29.6,4.33,37
Ocean,Species_5,46.03,42.81,11.32,49
Creek,Species_5,44.4,43.1,11.5,16
Creek,Species_5,48.4,44.7,13.6,10
Creek,Species_5,38.0,37.7,4.0,49
Creek,Species_5,47.5,44.4,11.93,13
Creek,Species_5,58.4,54.2,22.678,48
Creek,Species_5,38.0,35.8,6.2,28
Creek,Species_6,31.4,28.6,3.69,25
Ocean,Species_6,30.5,27.8,3.31,24
Ocean,Species_6,36.0,33.5,5.09,10
Creek,Species_6,33.5,31.4,15.0,44
Ocean,Species_5,58.7,55.2,25.0,14
Ocean,Species_6,37.47,33.87,6.32,46
Ocean,Species_5,43.2,42.4,10.036000000000001,30
Creek,Species_6,30.8,26.5,3.41,38
Ocean,Species_6,40.7,36.5,7.32,20
Ocean,Species_5,42.0,39.2,8.05,28
Ocean,Species_5,40.5,37.7,7.904000000000001,0
Creek,Species_5,32.1,31.7,4.8,2
Creek,Species_5,41.1,41.9,8.746,42
Creek,Species_5,39.4,36.7,6.6,7
Ocean,Species_6,47.6,43.2,13.288,50
Ocean,Species_5,44.4,41.1,11.5,3
Creek,Species_5,58.6,54.0,23.0,12
Creek,Species_5,42.1,40.6,10.0,39
Ocean,Species_5,42.5,40.0,8.6,1
Creek,Species_6,31.6,30.5,5.0,13
Creek,Species_6,24.1,23.2,2.44,36
Ocean,Species_6,32.8,31.1,5.0,48
Creek,Species_5,45.1,41.3,10.702000000000002,35
Creek,Species_5,46.6,45.1,11.746,36
Creek,Species_5,52.5,46.7,16.682,47
Ocean,Species_6,33.4,30.7,4.1,36
Ocean,Species_5,44.0,42.7,12.0,4
Ocean,Species_6,30.1,26.9,2.82,39
Ocean,Species_5,38.5,37.7,6.27,40
Creek,Species_5,47.4,44.8,13.23,38
Creek,Species_5,38.6,38.2,7.5,33
Ocean,Species_6,37.7,34.9,6.79,43
Creek,Species_6,41.0,40.4,8.75,5
Creek,Species_5,48.2,45.7,12.5,44
Ocean,Species_6,44.8,39.5,10.33,38
Creek,Species_6,30.5,28.3,3.536,18
Creek,Species_5,42.8,41.17,9.19,46
Creek,Species_5,43.7,43.2,10.294,48
Ocean,Species_6,33.77,31.1,3.75,27
Ocean,Species_6,44.2,39.4,10.233999999999998,5
Ocean,Species_6,36.0,33.87,5.4,27
Creek,Species_5,57.6,55.1,24.0,24
Creek,Species_5,36.5,35.5,6.28,5
Creek,Species_5,40.3,39.9,8.0,36
Creek,Species_5,37.2,36.0,5.4,1
Creek,Species_6,32.8,31.1,4.71,21
Ocean,Species_5,32.9,32.5,4.494,32
Ocean,Species_5,38.6,38.2,7.225999999999999,28
Creek,Species_5,42.5,40.7,6.2,51
Creek,Species_5,43.2,42.7,10.386,40
Creek,Species_5,49.4,45.7,14.9,3
Creek,Species_5,65.1,60.5,31.68,11
Ocean,Species_6,40.5,36.5,7.69,12
Creek,Species_5,45.4,41.4,10.0,22
Creek,Species_5,43.5,41.9,9.5,20
Creek,Species_6,36.7,35.6,6.0,47
Creek,Species_5,39.1,36.4,9.0,14
Creek,Species_5,37.57,33.93,6.61,8
Ocean,Species_6,35.5,31.7,4.868,26
Creek,Species_5,41.5,37.5,9.5,49
Creek,Species_5,58.8,53.0,24.5,24
Ocean,Species_5,29.9,27.5,3.0,7
Ocean,Species_4,88.6,81.6,77.5,18
Ocean,Species_6,36.9,32.1,5.75,6
Creek,Species_5,38.8,38.5,7.5,2
Ocean,Species_6,37.0,35.8,7.1,34
Creek,Species_5,47.2,44.7,13.084,47
Creek,Species_5,42.2,40.7,9.324000000000002,7
Creek,Species_5,62.5,58.5,28.5,8
Creek,Species_5,66.4,61.8,35.7,42
Creek,Species_5,34.5,31.5,8.5,9
Ocean,Species_5,64.8,61.0,32.414,49
Creek,Species_5,77.7,71.5,52.08,45
Creek,Species_6,38.8,36.0,7.0,49
Ocean,Species_5,31.83,28.33,3.44,7
Creek,Species_5,42.5,42.5,9.396,6
Creek,Species_5,66.4,63.4,36.8,43
Ocean,Species_6,37.3,33.5,6.0,45
Ocean,Species_5,42.2,41.7,9.225999999999999,23
Creek,Species_6,36.5,34.0,7.52,15
Creek,Species_6,40.0,37.0,6.71,43
Creek,Species_5,51.5,46.6,17.92,48
Creek,Species_5,42.0,40.4,9.25,21
Ocean,Species_5,52.0,48.4,16.4,45
Creek,Species_5,43.6,41.3,8.75,1
Ocean,Species_5,71.2,67.1,45.2,4
Creek,Species_6,34.2,33.4,5.0,36
Creek,Species_6,30.2,28.6,3.2,50
Ocean,Species_6,48.5,45.0,13.0,0
Creek,Species_6,32.3,30.0,4.5,27
Creek,Species_5,45.1,43.8,11.0,23
Creek,Species_5,41.3,42.1,8.7,2
Creek,Species_6,35.5,33.0,4.74,38
Ocean,Species_5,63.8,58.7,31.3,40
Ocean,Species_6,37.3,34.1,6.01,0
Creek,Species_5,51.7,47.6,18.0,11
Creek,Species_5,41.23,39.97,8.4,7
Creek,Species_6,29.9,28.3,3.29,30
Creek,Species_5,58.3,54.3,22.5,6
Ocean,Species_5,41.23,37.6,7.45,47
Creek,Species_5,44.5,42.1,10.309999999999999,34
Creek,Species_6,39.4,36.5,7.12,48
Creek,Species_6,39.5,36.25,6.35,42
Creek,Species_5,53.5,48.1,15.9,23
Ocean,Species_6,30.23,28.03,3.35,32
Creek,Species_5,60.0,54.8,26.5,18
Ocean,Species_6,29.7,28.4,3.55,24
Creek,Species_6,38.53,34.33,6.62,28
Creek,Species_5,39.6,39.4,8.260000000000002,3
Ocean,Species_6,34.7,31.9,5.0,35
Creek,Species_5,54.5,47.6,16.12,19
Creek,Species_5,42.3,42.23,8.6,50
Creek,Species_5,53.7,48.2,17.166,9
Creek,Species_5,41.5,40.9,9.5,32
Creek,Species_5,45.4,41.8,11.5,4
Creek,Species_5,41.3,40.5,7.6579999999999995,5
Creek,Species_5,41.5,39.7,7.09,43
Ocean,Species_5,38.6,37.6,7.47,14
Ocean,Species_5,39.6,37.7,7.0,43
Creek,Species_6,48.2,42.8,11.0,47
Ocean,Species_5,42.4,39.7,10.74,22
Creek,Species_6,36.1,34.2,4.5,39
Creek,Species_5,43.0,40.8,9.5,50
Ocean,Species_6,23.5,23.5,1.38,4
Creek,Species_5,36.3,33.4,5.008,41
Creek,Species_5,78.3,76.5,68.2,46
Creek,Species_5,42.1,42.3,9.5,44
Ocean,Species_6,45.7,40.6,11.5,42
Ocean,Species_6,36.5,33.7,7.5,7
Creek,Species_5,69.5,64.4,39.0,15
Creek,Species_5,42.6,40.0,9.53,46
Creek,Species_5,50.7,47.2,15.63,49
Ocean,Species_6,52.0,47.5,16.83,48
Creek,Species_5,39.0,38.16,6.59,35
Creek,Species_6,35.8,33.9,4.85,42
Ocean,Species_5,54.0,49.9,19.483999999999998,38
Creek,Species_5,41.2,39.2,8.552,33
Ocean,Species_6,33.4,30.1,5.5,45
Creek,Species_5,57.0,51.3,23.5,3
Creek,Species_6,42.73,49.47,8.23,31
Creek,Species_5,42.1,41.2,10.38,31
Creek,Species_5,42.8,40.4,9.022,41
Ocean,Species_5,40.0,37.8,8.5,44
Creek,Species_5,34.4,33.4,5.0,14
Creek,Species_6,36.2,34.0,6.5,15
Creek,Species_6,38.6,35.2,6.23,13
Creek,Species_5,40.0,37.2,7.73,51
Creek,Species_6,45.8,41.6,10.5,21
Creek,Species_5,39.3,37.1,8.5,9
