CCL_cm,CCW_cm,Weight_Kg,CalendarWeek,ForagingGround_Ocean,Species_Species_1,Species_Species_2,Species_Species_3,Species_Species_4,Species_Species_5,Species_Species_6,Species_Species_7
43.9,41.5,10.0,47,False,False,False,False,False,True,False,False
41.6,39.1,8.68,9,False,False,False,False,False,True,False,False
54.1,48.1,17.37,30,False,False,False,False,False,True,False,False
42.2,40.5,8.940000000000001,47,False,False,False,False,False,True,False,False
70.9,64.1,36.1,27,False,False,False,False,False,True,False,False
53.9,49.2,18.71,26,False,False,False,False,False,False,True,False
37.6,36.0,6.05,2,True,False,False,False,False,True,False,False
44.1,40.0,10.09,39,False,False,False,False,False,False,True,False
29.6,27.6,2.64,36,False,False,False,False,False,False,True,False
41.2,40.6,10.5,9,False,False,False,False,False,True,False,False
32.8,30.7,4.1,2,False,False,False,False,False,False,True,False
41.6,37.8,9.006,30,True,False,False,False,False,True,False,False
31.1,29.4,3.85,0,True,False,False,False,False,False,True,False
62.76,57.5,24.33,39,False,False,False,False,False,False,True,False
41.6,38.8,8.29,14,False,False,False,False,False,False,True,False
5.6,5.5,0.05333333333333334,18,False,False,False,False,False,False,True,False
35.4,32.6,4.8,47,False,False,False,False,False,False,True,False
31.5,29.9,3.59,29,True,False,False,False,False,False,True,False
62.0,57.5,23.47,3,False,False,False,False,False,False,True,False
35.9,32.5,5.65,22,False,False,False,False,False,False,True,False
37.8,34.3,7.0,36,True,False,False,False,False,True,False,False
63.3,57.4,30.5,37,False,False,False,False,False,True,False,False
40.8,39.1,8.0,23,False,False,False,False,False,True,False,False
31.5,29.1,4.0,23,False,False,False,False,False,False,True,False
30.0,27.7,2.1,0,False,False,False,False,False,False,True,False
44.1,42.6,11.5,31,False,False,False,False,False,True,False,False
32.2,29.3,3.41,2,True,False,False,False,False,False,True,False
33.5,32.5,4.858,49,True,False,False,False,False,True,False,False
49.4,43.6,12.88,29,True,False,False,False,False,False,True,False
37.7,37.1,6.25,36,False,False,False,False,False,True,False,False
46.5,42.8,13.52,49,True,False,False,False,False,True,False,False
41.0,39.0,7.46,22,False,False,False,False,False,True,False,False
40.0,39.3,8.51,10,False,False,False,False,False,True,False,False
87.5,85.8,85.76,15,True,False,False,False,False,True,False,False
35.5,33.4,5.062,32,False,False,False,False,False,False,True,False
60.8,52.7,26.0,4,False,False,False,False,False,True,False,False
40.6,37.2,9.18,46,True,False,False,False,False,False,True,False
43.0,38.8,10.0,11,False,False,False,False,False,True,False,False
38.8,36.2,7.01,39,False,False,False,False,False,True,False,False
30.0,28.0,3.28,36,False,False,False,False,False,False,True,False
21.7,21.2,1.5,30,True,False,False,False,False,False,True,False
50.0,48.6,15.0,24,True,False,False,False,False,True,False,False
94.5,85.5,102.8,25,True,False,False,False,True,False,False,False
41.0,38.7,8.218,6,False,False,False,False,False,True,False,False
71.7,66.1,43.616,24,False,False,False,False,False,True,False,False
31.6,30.2,3.2,46,False,False,False,False,False,False,True,False
35.5,33.5,7.5,14,True,False,False,False,False,False,True,False
40.8,37.9,12.5,51,True,False,False,False,False,True,False,False
43.0,40.4,10.12,17,False,False,False,False,False,False,True,False
67.7,62.6,37.94,9,True,False,False,False,False,True,False,False
36.8,34.1,5.45,25,False,False,False,False,False,True,False,False
50.6,45.5,13.0,48,False,False,False,False,False,True,False,False
79.8,72.8,58.7,18,False,False,False,False,False,True,False,False
35.0,32.3,6.5,49,False,False,False,False,False,False,True,False
41.1,39.6,7.715999999999999,44,False,False,False,False,False,True,False,False
40.2,39.6,8.25,26,False,False,False,False,False,True,False,False
42.7,38.1,9.464,7,True,False,False,False,False,False,True,False
41.46,39.76,9.5,35,False,False,False,False,False,True,False,False
35.1,34.8,4.8,7,False,False,False,False,False,True,False,False
102.3,91.6,124.8,44,True,False,False,False,True,False,False,False
36.4,34.0,4.62,15,False,False,False,False,False,False,True,False
71.5,66.1,43.616,20,False,False,False,False,False,True,False,False
47.0,46.1,12.4,12,False,False,False,False,False,True,False,False
34.1,32.4,4.5,11,False,False,False,False,False,False,True,False
36.9,35.3,6.5,2,True,False,False,False,False,False,True,False
49.2,46.0,13.05,22,False,False,False,False,False,True,False,False
32.5,29.5,3.3,10,False,False,False,False,False,False,True,False
38.5,37.8,8.38,21,False,False,False,False,False,True,False,False
30.0,28.0,3.15,26,False,False,False,False,False,False,True,False
39.5,40.0,7.364,31,False,False,False,False,False,True,False,False
39.2,34.4,6.85,4,True,False,False,False,False,False,True,False
44.1,40.9,10.378,13,False,False,False,False,False,True,False,False
67.4,61.8,35.773999999999994,12,False,False,False,False,False,True,False,False
36.2,35.3,5.75,14,False,False,False,False,False,False,True,False
42.2,41.5,8.68,0,True,False,False,False,False,True,False,False
54.5,50.5,17.45,46,True,False,False,False,False,False,True,False
50.6,47.7,15.420000000000002,51,False,False,False,False,False,True,False,False
65.77,57.27,30.32,8,True,False,False,False,False,False,True,False
43.3,41.2,9.824,27,True,False,False,False,False,True,False,False
34.2,33.3,3.43,26,False,False,False,False,False,False,True,False
34.8,32.9,5.75,12,True,False,False,False,False,False,True,False
42.0,36.5,8.864,39,True,False,False,False,False,False,True,False
42.2,41.2,9.35,20,True,False,False,False,False,True,False,False
69.2,65.6,35.5,40,False,False,False,False,False,True,False,False
32.7,31.9,4.11,43,False,False,False,False,False,False,True,False
55.9,52.6,21.26,34,True,False,False,False,False,True,False,False
73.1,64.2,41.0,50,True,False,False,False,False,True,False,False
31.9,31.3,4.172,21,False,False,False,False,False,False,True,False
34.7,33.27,5.0,4,False,False,False,False,False,False,True,False
29.7,28.2,3.15,16,True,False,False,False,False,True,False,False
31.2,29.87,4.84,49,True,False,False,False,False,True,False,False
33.8,31.5,4.0,34,True,False,False,False,False,False,True,False
44.5,41.7,11.0,25,False,False,False,False,False,False,True,False
38.5,35.7,6.46,43,True,False,False,False,False,False,True,False
34.1,32.7,4.4,17,False,False,False,False,False,False,True,False
32.6,28.7,4.0,28,True,False,False,False,False,False,True,False
73.0,64.9,43.4,9,False,False,False,False,False,True,False,False
49.4,44.5,12.22,5,True,False,False,False,False,False,True,False
53.1,48.9,17.678,10,True,False,False,False,False,False,True,False
38.6,36.9,6.5,39,False,False,False,False,False,True,False,False
42.23,38.23,10.12,23,False,False,False,False,False,True,False,False
34.9,32.7,6.0,25,False,False,False,False,False,False,True,False
36.8,33.5,6.5,24,False,False,False,False,False,True,False,False
56.2,52.5,23.0,37,False,False,False,False,False,True,False,False
30.4,27.3,2.35,15,False,False,False,False,False,False,True,False
47.9,44.1,12.86,32,False,False,False,False,False,True,False,False
32.0,30.0,4.0,27,True,False,False,False,False,False,True,False
62.0,60.6,29.560000000000002,20,False,False,False,False,False,True,False,False
42.6,39.9,8.7,15,True,False,False,False,False,False,True,False
30.5,27.9,3.13,26,False,False,False,False,False,False,True,False
36.93,34.07,5.37,23,False,False,False,False,False,False,True,False
43.3,39.6,9.15,24,False,False,False,False,False,False,True,False
35.6,33.0,5.39,6,True,False,False,False,False,False,True,False
42.2,34.2,8.21,34,True,False,False,False,False,False,True,False
44.6,42.2,10.408000000000001,17,True,False,False,False,False,True,False,False
43.5,42.2,10.3,22,False,False,False,False,False,True,False,False
39.4,38.0,7.302,38,True,False,False,False,False,True,False,False
29.4,26.8,2.95,10,False,False,False,False,False,False,True,False
43.8,42.6,10.15,42,False,False,False,False,False,True,False,False
39.3,35.3,6.45,38,True,False,False,False,False,False,True,False
43.4,41.4,10.5,47,False,False,False,False,False,True,False,False
43.5,39.6,10.8,47,False,False,False,False,False,False,True,False
46.3,44.9,13.472,47,True,False,False,False,False,True,False,False
39.6,38.5,7.0,48,False,False,False,False,False,True,False,False
44.1,41.3,11.3,47,False,False,False,False,False,True,False,False
34.7,34.1,4.82,42,True,False,False,False,False,True,False,False
35.5,33.6,5.22,37,True,False,False,False,False,False,True,False
41.1,38.8,8.062000000000001,16,False,False,False,False,False,True,False,False
61.0,56.1,27.0,41,False,False,False,False,False,True,False,False
37.4,34.0,7.07,50,True,False,False,False,False,True,False,False
39.4,40.1,7.14,37,True,False,False,False,False,True,False,False
34.2,32.4,4.458,6,False,False,False,False,False,True,False,False
47.9,44.4,13.540000000000001,10,False,False,False,False,False,True,False,False
34.5,34.8,4.85,37,True,False,False,False,False,True,False,False
71.1,62.2,38.160000000000004,33,True,False,False,False,False,True,False,False
52.9,50.1,18.066,5,False,False,False,False,False,True,False,False
42.97,41.43,9.71,44,False,False,False,False,False,True,False,False
42.3,41.4,10.0,30,True,False,False,False,False,True,False,False
39.5,38.5,7.684,47,False,False,False,False,False,True,False,False
66.1,62.6,36.5,40,False,False,False,False,False,True,False,False
41.3,41.0,8.662,1,True,False,False,False,False,True,False,False
35.7,33.2,5.25,42,False,False,False,False,False,False,True,False
41.06,37.67,8.02,45,True,False,False,False,False,False,True,False
35.1,33.4,5.048,30,False,False,False,False,False,True,False,False
37.0,34.4,5.5,25,True,False,False,False,False,False,True,False
51.0,44.2,15.38,19,False,False,False,False,False,True,False,False
37.3,33.7,5.2,45,False,False,False,False,False,False,True,False
66.8,59.7,32.86,39,False,False,False,False,False,True,False,False
42.3,40.0,8.856,49,False,False,False,False,False,True,False,False
41.0,39.9,8.31,48,True,False,False,False,False,True,False,False
31.2,28.6,3.14,37,True,False,False,False,False,False,True,False
45.6,43.1,11.382,31,False,False,False,False,False,True,False,False
41.9,39.9,8.23,43,False,False,False,False,False,True,False,False
45.9,42.1,10.85,42,True,False,False,False,False,False,True,False
47.2,43.5,12.0,7,False,False,False,False,False,True,False,False
52.0,48.0,15.613999999999999,8,False,False,False,False,False,True,False,False
38.5,35.7,8.5,30,True,False,False,False,False,False,True,False
33.3,31.6,3.96,34,True,False,False,False,False,False,True,False
43.8,43.4,11.5,30,False,False,False,False,False,True,False,False
31.5,30.7,3.88,22,True,False,False,False,False,False,True,False
40.0,40.0,7.76,43,False,False,False,False,False,True,False,False
45.1,42.3,12.004,38,False,False,False,False,False,True,False,False
38.1,35.5,4.8,51,False,False,False,False,False,False,True,False
41.1,39.0,6.0,37,False,False,False,False,False,True,False,False
37.9,37.8,6.86,47,False,False,False,False,False,True,False,False
31.0,29.4,4.0,27,True,False,False,False,False,False,True,False
58.2,50.5,19.4,52,False,False,False,False,False,False,True,False
34.5,32.1,5.018,47,True,False,False,False,False,False,True,False
32.0,31.25,3.45,48,False,False,False,False,False,True,False,False
29.5,27.2,3.5,50,True,False,False,False,False,False,True,False
43.8,42.0,8.74,40,False,False,False,False,False,True,False,False
34.2,33.2,5.06,45,False,False,False,False,False,True,False,False
38.6,36.63,6.49,9,False,False,False,False,False,False,True,False
38.0,35.3,5.81,23,False,False,False,False,False,False,True,False
39.0,34.5,6.94,31,False,False,False,False,False,False,True,False
50.3,46.3,15.462,12,True,False,False,False,False,True,False,False
71.7,65.0,40.004,13,False,False,False,False,False,True,False,False
37.5,33.5,6.1819999999999995,43,True,False,False,False,False,False,True,False
39.5,37.1,6.6,38,True,False,False,False,False,False,True,False
41.3,41.5,8.98,28,True,False,False,False,False,True,False,False
31.9,29.0,3.5,30,True,False,False,False,False,False,True,False
36.1,34.6,6.5,5,False,False,False,False,False,False,True,False
35.75,34.85,6.1,22,True,False,False,False,False,False,True,False
45.4,44.3,10.9,31,False,False,False,False,False,True,False,False
35.0,30.5,4.802,41,False,False,False,False,False,False,True,False
36.1,36.8,6.5,35,True,False,False,False,False,True,False,False
39.4,35.6,6.4,46,False,False,False,False,False,True,False,False
33.6,32.2,5.0,8,True,False,False,False,False,False,True,False
56.5,52.6,21.857999999999997,38,False,False,False,False,False,True,False,False
43.7,42.5,10.424,37,False,False,False,False,False,True,False,False
40.5,40.2,7.6,35,False,False,False,False,False,True,False,False
37.0,35.6,5.44,20,False,False,False,False,False,False,True,False
42.6,41.5,10.05,36,False,False,False,False,False,True,False,False
40.5,36.3,6.82,12,False,False,False,False,False,False,True,False
39.0,38.0,5.9,41,True,False,False,False,False,False,True,False
37.9,34.8,7.0,40,True,False,False,False,False,False,True,False
27.1,24.3,2.58,13,True,False,False,False,False,False,True,False
41.6,40.3,8.0,24,False,False,False,False,False,True,False,False
32.6,33.0,3.85,44,True,False,False,False,False,True,False,False
42.0,37.1,8.5,25,True,False,False,False,False,False,True,False
42.7,41.3,9.225999999999999,30,False,False,False,False,False,True,False,False
60.0,53.6,26.5,5,False,False,False,False,False,True,False,False
30.93,30.0,3.66,2,False,False,False,False,False,True,False,False
45.1,42.2,12.5,45,True,False,False,False,False,True,False,False
38.6,35.4,6.5,3,True,False,False,False,False,False,True,False
30.5,27.4,4.04,35,False,False,False,False,False,False,True,False
63.0,53.8,21.436,0,False,False,False,False,False,True,False,False
32.4,31.0,4.0,45,False,False,False,False,False,False,True,False
42.1,42.2,9.256,34,False,False,False,False,False,True,False,False
33.0,29.4,3.23,48,False,False,False,False,False,False,True,False
50.5,48.2,17.5,13,True,False,False,False,False,True,False,False
42.7,39.9,8.922,14,False,False,False,False,False,True,False,False
29.2,28.7,3.2,34,False,False,False,False,False,False,True,False
49.0,41.0,11.197999999999999,31,False,False,False,False,False,True,False,False
4.3,4.2,0.10000000000000002,25,True,False,False,False,False,False,True,False
39.3,36.4,6.970000000000001,46,True,False,False,False,False,False,True,False
43.9,41.1,10.23,31,True,False,False,False,False,True,False,False
39.6,36.6,7.66,17,True,False,False,False,False,False,True,False
32.1,29.2,5.0,49,True,False,False,False,False,False,True,False
35.0,33.0,5.41,34,False,False,False,False,False,False,True,False
45.5,42.7,10.2,1,False,False,False,False,False,True,False,False
35.0,32.5,4.77,11,False,False,False,False,False,True,False,False
40.7,41.5,7.858,36,True,False,False,False,False,True,False,False
53.0,48.0,17.0,4,False,False,False,False,False,True,False,False
52.3,47.2,16.48,34,False,False,False,False,False,True,False,False
4.5,4.2,0.10000000000000002,18,False,False,False,False,False,False,False,True
39.6,38.1,8.0,27,False,False,False,False,False,True,False,False
32.17,28.53,3.6,9,False,False,False,False,False,False,True,False
41.0,37.7,7.54,16,False,False,False,False,False,True,False,False
45.6,43.2,11.06,11,False,False,False,False,False,True,False,False
36.7,35.4,7.31,45,True,False,False,False,False,True,False,False
35.17,33.33,5.0,8,False,False,False,False,False,False,True,False
38.9,37.0,7.0,46,True,False,False,False,False,True,False,False
33.1,30.8,4.5,41,True,False,False,False,False,False,True,False
53.7,48.2,17.166,6,False,False,False,False,False,True,False,False
43.7,43.3,10.246,38,False,False,False,False,False,True,False,False
42.9,39.6,8.32,50,True,False,False,False,False,True,False,False
51.7,46.7,17.084,48,False,False,False,False,False,True,False,False
42.5,38.8,8.874,46,False,False,False,False,False,True,False,False
29.9,28.0,3.94,30,True,False,False,False,False,False,True,False
40.2,37.5,7.0,46,False,False,False,False,False,False,True,False
29.5,26.0,2.79,14,False,False,False,False,False,False,True,False
28.2,25.8,2.41,42,True,False,False,False,False,False,True,False
34.4,32.8,4.7,33,False,False,False,False,False,False,True,False
59.1,53.6,24.2,32,False,False,False,False,False,True,False,False
32.8,32.2,4.28,3,False,False,False,False,False,True,False,False
31.0,29.1,4.238,38,False,False,False,False,False,False,True,False
39.7,38.5,8.5,18,False,False,False,False,False,False,True,False
45.7,43.4,11.309999999999999,0,False,False,False,False,False,True,False,False
41.0,40.2,7.2,4,True,False,False,False,False,True,False,False
47.6,45.1,13.580000000000002,26,False,False,False,False,False,True,False,False
35.0,32.1,4.5,25,False,False,False,False,False,False,True,False
47.6,44.3,14.0,48,False,False,False,False,False,True,False,False
38.4,34.9,6.5,15,False,False,False,False,False,True,False,False
33.2,31.0,3.754,19,False,False,False,False,False,False,True,False
38.3,36.7,6.25,41,False,False,False,False,False,True,False,False
99.5,92.4,120.84,51,True,False,False,False,False,True,False,False
74.1,68.7,49.48,31,False,False,False,False,False,True,False,False
50.0,46.2,15.7,39,False,False,False,False,False,True,False,False
41.2,40.3,8.326,45,False,False,False,False,False,True,False,False
45.7,42.4,12.87,33,False,False,False,False,False,True,False,False
48.0,44.4,13.0,24,True,False,False,False,False,True,False,False
44.97,45.5,11.196000000000002,23,False,False,False,False,False,True,False,False
34.5,33.6,5.216,41,False,False,False,False,False,False,True,False
8.2,8.1,0.20333333333333334,15,True,False,False,False,False,False,True,False
40.0,38.2,8.05,14,True,False,False,False,False,False,True,False
57.3,53.3,21.794,46,False,False,False,False,False,True,False,False
33.3,29.5,3.93,51,False,False,False,False,False,False,True,False
34.5,31.3,5.4,18,False,False,False,False,False,False,True,False
44.1,43.1,10.5,50,True,False,False,False,False,True,False,False
40.0,39.9,7.19,37,False,False,False,False,False,True,False,False
53.3,50.2,17.966,6,False,False,False,False,False,True,False,False
42.2,40.7,9.0,29,True,False,False,False,False,True,False,False
32.1,29.3,4.17,18,False,False,False,False,False,False,True,False
35.2,32.8,4.55,43,True,False,False,False,False,False,True,False
39.1,36.1,5.0,30,False,False,False,False,False,False,True,False
33.5,30.2,4.5,38,True,False,False,False,False,False,True,False
44.3,41.2,11.38,10,True,False,False,False,False,False,True,False
41.5,40.6,8.0,7,False,False,False,False,False,True,False,False
37.1,38.4,6.556,35,True,False,False,False,False,True,False,False
33.1,30.1,3.91,35,False,False,False,False,False,False,True,False
39.4,38.0,7.18,49,False,False,False,False,False,True,False,False
49.3,47.7,13.466,36,False,False,False,False,False,True,False,False
50.9,48.5,14.7,4,False,False,False,False,False,True,False,False
71.6,64.5,38.684000000000005,28,False,False,False,False,False,True,False,False
43.0,41.5,9.416,47,False,False,False,False,False,True,False,False
36.5,35.2,5.946,42,True,False,False,False,False,True,False,False
79.2,70.0,57.6,42,False,False,False,False,False,True,False,False
38.6,35.4,6.2,38,True,False,False,False,False,False,True,False
45.1,41.2,10.1,41,True,False,False,False,False,True,False,False
47.6,44.6,12.017999999999999,31,True,False,False,False,False,True,False,False
59.5,52.7,26.0,37,False,False,False,False,False,True,False,False
28.5,26.6,3.08,2,True,False,False,False,False,False,True,False
34.0,31.5,4.5,49,True,False,False,False,False,False,True,False
27.43,26.07,1.74,21,False,False,False,False,False,False,True,False
37.2,36.6,6.262,44,False,False,False,False,False,True,False,False
34.4,31.5,5.134,22,True,False,False,False,False,False,True,False
34.1,31.2,5.0,41,True,False,False,False,False,False,True,False
41.8,37.4,8.2,6,True,False,False,False,False,False,True,False
45.3,44.2,10.826000000000002,29,False,False,False,False,False,True,False,False
38.0,34.1,7.01,6,True,False,False,False,False,False,True,False
53.0,48.3,15.785999999999998,52,True,False,False,False,False,True,False,False
71.9,64.3,39.315999999999995,39,False,False,False,False,False,True,False,False
41.1,37.5,8.82,45,True,False,False,False,False,False,True,False
52.7,47.1,16.89,2,False,False,False,False,False,True,False,False
60.1,55.7,22.110000000000003,51,False,False,False,False,False,True,False,False
44.7,44.1,11.0,29,False,False,False,False,False,True,False,False
58.6,53.2,23.5,45,False,False,False,False,False,True,False,False
45.0,41.5,10.55,21,False,False,False,False,False,True,False,False
34.5,32.6,5.0,7,True,False,False,False,False,False,True,False
40.8,39.2,8.222,25,False,False,False,False,False,True,False,False
36.1,34.4,5.5,38,False,False,False,False,False,False,True,False
49.9,49.65,23.259999999999998,42,False,False,False,False,False,True,False,False
43.6,40.5,9.5,35,False,False,False,False,False,True,False,False
36.1,32.0,5.52,29,True,False,False,False,False,True,False,False
44.6,41.1,9.5,3,True,False,False,False,False,True,False,False
44.5,42.2,9.63,35,False,False,False,False,False,True,False,False
69.9,61.1,38.78000000000001,20,False,False,False,False,False,True,False,False
62.5,55.0,26.928000000000004,40,False,False,False,False,False,True,False,False
40.5,38.0,8.5,3,False,False,False,False,False,False,True,False
42.0,40.9,10.5,33,False,False,False,False,False,True,False,False
36.5,37.3,6.19,42,False,False,False,False,False,True,False,False
65.6,58.1,31.5,43,False,False,False,False,False,True,False,False
42.37,38.03,8.05,47,True,False,False,False,False,False,True,False
39.23,38.5,6.93,2,False,False,False,False,False,True,False,False
46.0,39.3,10.5,32,False,False,False,False,False,False,True,False
42.2,41.1,9.5,51,True,False,False,False,False,True,False,False
39.9,39.0,8.14,46,True,False,False,False,False,True,False,False
44.1,43.7,10.0,32,False,False,False,False,False,True,False,False
36.4,35.0,6.0,33,True,False,False,False,False,False,True,False
60.8,56.1,26.568,30,True,False,False,False,False,True,False,False
63.0,61.4,31.0,11,True,False,False,False,False,True,False,False
33.7,32.1,4.53,36,True,False,False,False,False,False,True,False
50.2,44.2,15.48,20,False,False,False,False,False,False,True,False
38.2,37.0,7.67,18,True,False,False,False,False,True,False,False
40.6,39.5,8.648,33,False,False,False,False,False,True,False,False
31.6,28.5,6.0,13,False,False,False,False,False,False,True,False
74.1,69.0,49.480000000000004,49,False,False,False,False,False,True,False,False
45.6,42.6,10.98,25,True,False,False,False,False,False,True,False
38.7,37.9,8.5,5,True,False,False,False,False,False,True,False
36.2,34.8,5.5,2,False,False,False,False,False,True,False,False
32.5,28.7,4.4,41,True,False,False,False,False,True,False,False
43.46,42.36,10.31,2,False,False,False,False,False,True,False,False
41.9,41.3,9.198,41,False,False,False,False,False,True,False,False
40.0,37.6,7.244,12,False,False,False,False,False,True,False,False
53.3,45.7,20.0,1,True,False,False,False,False,False,True,False
47.8,45.7,14.3,1,False,False,False,False,False,True,False,False
32.4,29.6,4.33,37,True,False,False,False,False,False,True,False
46.03,42.81,11.32,49,True,False,False,False,False,True,False,False
44.4,43.1,11.5,16,False,False,False,False,False,True,False,False
48.4,44.7,13.6,10,False,False,False,False,False,True,False,False
38.0,37.7,4.0,49,False,False,False,False,False,True,False,False
47.5,44.4,11.93,13,False,False,False,False,False,True,False,False
58.4,54.2,22.678,48,False,False,False,False,False,True,False,False
38.0,35.8,6.2,28,False,False,False,False,False,True,False,False
31.4,28.6,3.69,25,False,False,False,False,False,False,True,False
30.5,27.8,3.31,24,True,False,False,False,False,False,True,False
36.0,33.5,5.09,10,True,False,False,False,False,False,True,False
33.5,31.4,15.0,44,False,False,False,False,False,False,True,False
58.7,55.2,25.0,14,True,False,False,False,False,True,False,False
37.47,33.87,6.32,46,True,False,False,False,False,False,True,False
43.2,42.4,10.036000000000001,30,True,False,False,False,False,True,False,False
30.8,26.5,3.41,38,False,False,False,False,False,False,True,False
40.7,36.5,7.32,20,True,False,False,False,False,False,True,False
42.0,39.2,8.05,28,True,False,False,False,False,True,False,False
40.5,37.7,7.904000000000001,0,True,False,False,False,False,True,False,False
32.1,31.7,4.8,2,False,False,False,False,False,True,False,False
41.1,41.9,8.746,42,False,False,False,False,False,True,False,False
39.4,36.7,6.6,7,False,False,False,False,False,True,False,False
47.6,43.2,13.288,50,True,False,False,False,False,False,True,False
44.4,41.1,11.5,3,True,False,False,False,False,True,False,False
58.6,54.0,23.0,12,False,False,False,False,False,True,False,False
